label,message,label_num,message_length,clean_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,111,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
ham,Ok lar... Joking wif u oni...,0,29,ok lar joke wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,155,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli
ham,U dun say so early hor... U c already then say...,0,49,u dun say earli hor u c alreadi say
ham,"Nah I don't think he goes to usf, he lives around here though",0,61,nah think goe usf live around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,147,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,77,even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,157,winner valu network custom select receivea prize reward claim call claim code kl valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,154,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,109,gonna home soon want talk stuff anymor tonight k cri enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,136,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,155,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,196,search right word thank breather promis wont take help grant fulfil promis wonder bless time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,35,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,149,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl
ham,Oh k...i'm watching here:),0,26,oh k watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,81,eh u rememb spell name ye v naughti make v wet
ham,Fine if thats the way u feel. Thats the way its gota b,0,56,fine way u feel way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,155,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox w wq
ham,Is that seriously how you spell his name?,0,41,serious spell name
ham,I‘m going to try for 2 months ha ha only joking,0,47,go tri month ha ha joke
ham,So ü pay first lar... Then when is da stock comin...,0,52,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,88,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,57,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,144,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
ham,Lol your always so convincing.,0,30,lol alway convinc
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,134,catch bu fri egg make tea eat mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,75,back amp pack car let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,64,ahhh work vagu rememb feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,130,wait still clear sure sarcast x want live us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,189,yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer
ham,K tell me anything about you.,0,29,k tell anyth
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,84,fear faint housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,158,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,122,yup ok go home look time msg xuhui go learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",0,47,oop let know roommat done
ham,I see the letter B on my car,0,28,see letter b car
ham,Anything lor... U decide...,0,27,anyth lor u decid
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,155,hello saturday go text see decid anyth tomo tri invit anyth
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,82,pl go ahead watt want sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,142,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,172,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
ham,WHO ARE YOU SEEING?,0,19,see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,72,great hope like man well endow lt gt inch
ham,No calls..messages..missed calls,0,32,call messag miss call
ham,Didn't you get hep b immunisation in nigeria.,0,45,get hep b immunis nigeria
ham,"Fair enough, anything going on?",0,31,fair enough anyth go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,67,yeah hope tyler could mayb ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,148,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
ham,What you thinked about me. First time you saw me in class.,0,58,think first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,124,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,80,k fyi x ride earli tomorrow morn crash place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,289,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,120,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,76,know mallika sherawat yesterday find lt url gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,161,congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss
ham,"Sorry, I'll call later in meeting.",0,34,sorri call later meet
ham,Tell where you reached,0,22,tell reach
ham,Yes..gauti and sehwag out of odi series.,0,40,ye gauti sehwag odi seri
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,108,gonna pick burger way home even move pain kill
ham,Ha ha ha good joke. Girls are situation seekers.,0,48,ha ha ha good joke girl situat seeker
ham,Its a part of checking IQ,0,25,part check iq
ham,"Sorry my roommates took forever, it ok if I come by now?",0,56,sorri roommat took forev ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,110,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,152,valu custom pleas advis follow recent review mob award bonu prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,122,today song dedic day song u dedic send ur valuabl frnd first rpli
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,159,urgent ur award complimentari trip eurodisinc trav aco entri claim txt di morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,78,hear new divorc barbi come ken stuff
ham,I plane to give on this month end.,0,34,plane give month end
ham,Wah lucky man... Then can save money... Hee...,0,46,wah lucki man save money hee
ham,Finished class where are you.,0,29,finish class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,45,hi babe im home wanna someth xx
ham,K..k:)where are you?how did you performed?,0,42,k k perform
ham,U can call me now...,0,20,u call
ham,I am waiting machan. Call me once you free.,0,43,wait machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,73,that cool gentleman treat digniti respect
ham,I like you peoples very much:) but am very shy pa.,0,50,like peopl much shi pa
ham,Does not operate after  &lt;#&gt;  or what,0,42,oper lt gt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,76,still look job much ta earn
ham,"Sorry, I'll call later",0,22,sorri call later
ham,K. Did you call me just now ah? ,0,32,k call ah
ham,Ok i am on the way to home hi hi,0,32,ok way home hi hi
ham,You will be in the place of that man,0,36,place man
ham,Yup next stop.,0,14,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",0,55,call later network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,121,real u get yo need ticket one jacket done alreadi use multi
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,144,ye start send request make pain came back back bed doubl coin factori gotta cash nitro
ham,I'm really not up to it still tonight babe,0,42,realli still tonight babe
ham,"Ela kano.,il download, come wen ur free..",0,41,ela kano il download come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,58,yeah stand close tho catch someth
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,195,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff moro includ time sheet sorri
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,141,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,137,pleas call custom servic repres pm guarante cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,107,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,158,free rington wait collect simpli text password mix verifi get usher britney fml po box mk h ppw
ham,Watching telugu movie..wat abt u?,0,33,watch telugu movi wat abt u
ham,i see. When we finish we have loads of loans to pay,0,51,see finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,178,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u
ham,I see a cup of coffee animation,0,31,see cup coffe anim
ham,Please don't text me anymore. I have nothing else to say.,0,57,pleas text anymor noth els say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,81,okay name ur price long legal wen pick u ave x am xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,76,still look car buy gone drive test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,183,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
ham,Umma my life and vava umma love you lot dear,0,44,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,95,thank lot wish birthday thank make birthday truli memor
ham,"Aight, I'll hit you up when I get some cash",0,43,aight hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,0,82,would ip address test consid comput minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,115,know grumpi old peopl mom like better lie alway one play joke
ham,Dont worry. I guess he's busy.,0,30,dont worri guess busi
ham,What is the plural of the noun research?,0,40,plural noun research
ham,Going for dinner.msg you after.,0,31,go dinner msg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,96,ok wif co like tri new thing scare u dun like mah co u said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,158,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,143,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,152,winner u special select receiv holiday flight inc speak live oper claim p min
